Name,Address,Latitude,Longitude,Opening Hours,Secondary Opening Hours,Open Now,Current Opening Hours
Palisades Park,Ocean Ave, Santa Monica, CA 90401, United States,34.0230179,-118.5094604,Monday: 5:30 AM – 11:00 PM; Tuesday: 5:30 AM – 11:00 PM; Wednesday: 5:30 AM – 11:00 PM; Thursday: 5:30 AM – 11:00 PM; Friday: 5:30 AM – 11:00 PM; Saturday: 5:30 AM – 11:00 PM; Sunday: 6:00 AM – 11:30 PM,1 0530 - 2300,No,0530 - 2300
Santa Monica Pier,200 Santa Monica Pier, Santa Monica, CA 90401, United States,34.0082821,-118.4987585,N/A,N/A,N/A,N/A
Giorgio Baldi,114 W Channel Rd, Santa Monica, CA 90402, United States,34.0284804,-118.5187919,Monday: Closed; Tuesday: 6:00 – 10:00 PM; Wednesday: 6:00 – 10:00 PM; Thursday: 6:00 – 10:00 PM; Friday: 6:00 – 10:00 PM; Saturday: 6:00 – 10:00 PM; Sunday: 6:00 – 10:00 PM,2 1800 - 2200,No,1800 - 2200
Venice Canal Historic District,Venice, CA 90292, United States,33.9833582,-118.4675949,N/A,N/A,N/A,N/A
Eames Foundation,203 Chautauqua Blvd, Pacific Palisades, CA 90272, United States,34.0298346,-118.5193951,Monday: 12:30 – 2:30 PM; Tuesday: Closed; Wednesday: Closed; Thursday: 12:30 – 4:00 PM; Friday: 10:30 AM – 4:00 PM; Saturday: 10:30 AM – 4:00 PM; Sunday: Closed,4 1230 - 1600,No,N/A
Rustic Canyon,1119 Wilshire Blvd, Santa Monica, CA 90401, United States,34.0250524,-118.4912732,Monday: 5:30 – 9:30 PM; Tuesday: 5:30 – 9:30 PM; Wednesday: 5:30 – 9:30 PM; Thursday: 5:00 – 9:30 PM; Friday: 5:00 – 10:00 PM; Saturday: 5:00 – 10:00 PM; Sunday: 5:00 – 9:30 PM,1 1730 - 2130,No,1730 - 2130
MUSE Santa Monica,108 W Channel Rd, Santa Monica, CA 90402, United States,34.0283775,-118.5189658,Monday: Closed; Tuesday: Closed; Wednesday: 5:00 – 10:00 PM; Thursday: 5:00 – 10:00 PM; Friday: 5:00 – 10:00 PM; Saturday: 5:00 – 10:00 PM; Sunday: 5:00 – 10:00 PM,3 1700 - 2200,No,1700 - 2200
Original Muscle Beach Santa Monica,Ocean Front Walk, Santa Monica, CA 90401, United States,34.0090094,-118.494764,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,N/A,Yes,N/A
Santa Monica Pier Arch,81-99 Colorado Ave, Santa Monica, CA 90401, United States,34.01126199999999,-118.4951136,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,N/A,Yes,N/A
Santa Ynez Canyon Trailhead - Topanga State Park,Santa Ynez Canyon Trail, Pacific Palisades, CA 90272, United States,34.0782231,-118.5674481,Monday: 8:00 AM – 8:00 PM; Tuesday: 8:00 AM – 8:00 PM; Wednesday: 8:00 AM – 8:00 PM; Thursday: 8:00 AM – 8:00 PM; Friday: 8:00 AM – 8:00 PM; Saturday: 8:00 AM – 8:00 PM; Sunday: 8:00 AM – 8:00 PM,1 0800 - 2000,No,0800 - 2000
Venice Boardwalk,Beach pavillion in, Los Angeles, CA, United States,33.9909254,-118.4774439,N/A,N/A,N/A,N/A
Tongva Park,1615 Ocean Ave, Santa Monica, CA 90401, United States,34.0111203,-118.4932405,Monday: 6:00 AM – 11:00 PM; Tuesday: 6:00 AM – 11:00 PM; Wednesday: 6:00 AM – 11:00 PM; Thursday: 6:00 AM – 11:00 PM; Friday: 6:00 AM – 11:00 PM; Saturday: 6:00 AM – 11:00 PM; Sunday: 6:00 AM – 11:00 PM,1 0600 - 2300,No,0600 - 2300
Élephante,1332 2nd St Rooftop, Santa Monica, CA 90401, United States,34.0152447,-118.4979996,Monday: 10:00 AM – 12:00 AM; Tuesday: 10:00 AM – 12:00 AM; Wednesday: 10:00 AM – 12:00 AM; Thursday: 10:00 AM – 12:00 AM; Friday: 9:00 AM – 1:00 AM; Saturday: 9:00 AM – 1:00 AM; Sunday: 9:00 AM – 12:00 AM,1 1000 - 0000,No,1000 - 0000
Caffé Delfini,147 W Channel Rd, Santa Monica, CA 90402, United States,34.0290339,-118.5184118,Monday: 5:30 – 9:00 PM; Tuesday: 5:30 – 9:00 PM; Wednesday: 5:30 – 9:00 PM; Thursday: 5:30 – 9:00 PM; Friday: 5:30 – 9:30 PM; Saturday: 5:30 – 9:30 PM; Sunday: 5:30 – 9:00 PM,1 1730 - 2100,No,1730 - 2100
Ye Olde King's Head,116 Santa Monica Blvd, Santa Monica, CA 90401, United States,34.01456,-118.4972077,Monday: 10:00 AM – 10:00 PM; Tuesday: 10:00 AM – 10:00 PM; Wednesday: 10:00 AM – 10:00 PM; Thursday: 10:00 AM – 10:00 PM; Friday: 10:00 AM – 11:00 PM; Saturday: 9:00 AM – 11:00 PM; Sunday: 9:00 AM – 10:00 PM,1 1000 - 2200,No,1000 - 2200
Pacific Wheel,380 Santa Monica Pier, Santa Monica, CA 90401, United States,34.0082925,-118.497882,N/A,N/A,N/A,N/A
Massilia,1445 4th St, Santa Monica, CA 90401, United States,34.0155702,-118.4939658,Monday: 4:00 – 11:00 PM; Tuesday: 4:00 – 11:00 PM; Wednesday: 4:00 – 11:00 PM; Thursday: 4:00 – 11:00 PM; Friday: 4:00 PM – 12:00 AM; Saturday: 9:00 AM – 12:00 AM; Sunday: 9:00 AM – 11:00 PM,1 1600 - 2300,No,1600 - 2300
Farmshop,225 26th St #25, Santa Monica, CA 90402, United States,34.0474434,-118.490448,Monday: 7:00 AM – 7:00 PM; Tuesday: 7:00 AM – 7:00 PM; Wednesday: 7:00 AM – 7:00 PM; Thursday: 7:00 AM – 7:00 PM; Friday: 7:00 AM – 7:00 PM; Saturday: 7:00 AM – 7:00 PM; Sunday: 7:00 AM – 7:00 PM,1 0700 - 1900,No,0700 - 1900
Maria Sol,401 Santa Monica Pier, Santa Monica, CA 90401, United States,34.0077027,-118.4997326,Monday: 12:00 – 8:00 PM; Tuesday: 12:00 – 8:00 PM; Wednesday: 12:00 – 8:00 PM; Thursday: 12:00 – 8:00 PM; Friday: 12:00 – 8:00 PM; Saturday: 11:00 AM – 9:00 PM; Sunday: 11:00 AM – 9:00 PM,1 1200 - 2000,No,1200 - 2000
Las Tunas Beach,19444 Pacific Coast Hwy, Malibu, CA 90265, United States,34.0393574,-118.5971744,N/A,N/A,N/A,N/A
Huckleberry Bakery & Cafe,1014 Wilshire Blvd, Santa Monica, CA 90401, United States,34.0238694,-118.4920639,Monday: 7:00 AM – 3:00 PM; Tuesday: 7:00 AM – 3:00 PM; Wednesday: 7:00 AM – 3:00 PM; Thursday: 7:00 AM – 3:00 PM; Friday: 7:00 AM – 3:00 PM; Saturday: 7:00 AM – 3:00 PM; Sunday: 7:00 AM – 3:00 PM,1 0700 - 1500,No,0700 - 1500
Franklin D. Murphy Sculpture Garden,Franklin D. Murphy Sculpture Garden, 245 Charles E Young Dr E, Los Angeles, CA 90095, United States,34.0751,-118.4400333,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,N/A,Yes,N/A
The Cheesecake Factory,395 Santa Monica Pl Suite 305, Santa Monica, CA 90401, United States,34.013669,-118.4940971,Monday: 11:30 AM – 10:00 PM; Tuesday: 11:30 AM – 10:00 PM; Wednesday: 11:30 AM – 10:00 PM; Thursday: 11:30 AM – 10:00 PM; Friday: 11:30 AM – 11:00 PM; Saturday: 11:00 AM – 11:00 PM; Sunday: 10:00 AM – 10:00 PM,1 1130 - 2200,No,1130 - 2200
North Italia,1442 2nd St, Santa Monica, CA 90401, United States,34.013894,-118.4962154,Monday: 11:00 AM – 10:00 PM; Tuesday: 11:00 AM – 10:00 PM; Wednesday: 11:00 AM – 10:00 PM; Thursday: 11:00 AM – 10:00 PM; Friday: 11:00 AM – 11:00 PM; Saturday: 11:00 AM – 11:00 PM; Sunday: 11:00 AM – 10:00 PM,1 1100 - 2200,No,1100 - 2200
Domino's Pizza,16605 Sunset Blvd Suite 103 Ste 103, Pacific Palisades, CA 90272, United States,34.0478915,-118.5440505,Monday: 10:00 AM – 12:00 AM; Tuesday: 10:00 AM – 12:00 AM; Wednesday: 10:00 AM – 12:00 AM; Thursday: 10:00 AM – 12:00 AM; Friday: 10:00 AM – 1:00 AM; Saturday: 10:00 AM – 1:00 AM; Sunday: 10:00 AM – 12:00 AM,1 1000 - 0000,No,1000 - 0000
Santa Monica Beach,Santa Monica, CA 90401, United States,34.0126246,-118.500347,N/A,N/A,N/A,N/A
West Coaster,380 Santa Monica Pier, Santa Monica, CA 90401, United States,34.0082628,-118.4976237,N/A,N/A,N/A,N/A
UOVO | Santa Monica,1320 2nd St Ste A, Santa Monica, CA 90401, United States,34.0157467,-118.4982745,Monday: 11:30 AM – 10:00 PM; Tuesday: 11:30 AM – 10:00 PM; Wednesday: 11:30 AM – 10:00 PM; Thursday: 11:30 AM – 10:00 PM; Friday: 11:30 AM – 10:00 PM; Saturday: 11:30 AM – 10:00 PM; Sunday: 11:30 AM – 10:00 PM,1 1130 - 2200,No,1130 - 2200
Douglas Park,2439 Wilshire Blvd, Santa Monica, CA 90403, United States,34.0355644,-118.4792485,Monday: 6:00 AM – 11:00 PM; Tuesday: 6:00 AM – 11:00 PM; Wednesday: 6:00 AM – 11:00 PM; Thursday: 6:00 AM – 11:00 PM; Friday: 6:00 AM – 11:00 PM; Saturday: 6:00 AM – 11:00 PM; Sunday: 6:00 AM – 11:00 PM,1 0600 - 2300,No,0600 - 2300
Santa Monica Pier Carousel,1624 Ocean Front Walk, Santa Monica, CA 90401, United States,34.010113,-118.4961279,Monday: 11:00 AM – 5:00 PM; Tuesday: Closed; Wednesday: Closed; Thursday: 11:00 AM – 5:00 PM; Friday: 11:00 AM – 7:00 PM; Saturday: 11:00 AM – 7:00 PM; Sunday: 11:00 AM – 7:00 PM,1 1100 - 1700,No,N/A
Universal Studios Hollywood,100 Universal City Plaza, Universal City, CA 91608, United States,34.1370713,-118.3533061,Monday: 10:00 AM – 6:00 PM; Tuesday: 10:00 AM – 6:00 PM; Wednesday: 10:00 AM – 6:00 PM; Thursday: 10:00 AM – 6:00 PM; Friday: 10:00 AM – 6:00 PM; Saturday: 9:00 AM – 9:00 PM; Sunday: 9:00 AM – 9:00 PM,1 1000 - 1800,No,1000 - 1800
Blue Plate Taco,1515 Ocean Ave, Santa Monica, CA 90401, United States,34.0125642,-118.4959327,Monday: 11:30 AM – 10:00 PM; Tuesday: 11:30 AM – 10:00 PM; Wednesday: 11:30 AM – 10:00 PM; Thursday: 11:30 AM – 10:00 PM; Friday: 11:30 AM – 10:00 PM; Saturday: 11:00 AM – 10:00 PM; Sunday: 11:00 AM – 10:00 PM,1 1130 - 2200,No,1130 - 2200
Hillstone,202 Wilshire Blvd, Santa Monica, CA 90401, United States,34.017523,-118.499814,Monday: 11:30 AM – 9:00 PM; Tuesday: 11:30 AM – 9:00 PM; Wednesday: 11:30 AM – 9:00 PM; Thursday: 11:30 AM – 10:00 PM; Friday: 11:30 AM – 10:00 PM; Saturday: 11:30 AM – 10:00 PM; Sunday: 11:30 AM – 9:00 PM,1 1130 - 2100,No,1130 - 2100
Palisades Village,15225 Palisades Village Ln, Pacific Palisades, CA 90272, United States,34.04763490000001,-118.5248688,N/A,N/A,N/A,N/A
Forma Restaurant & Cheese Bar Santa Monica,1610 Montana Ave, Santa Monica, CA 90403, United States,34.0339425,-118.4928037,Monday: 11:00 AM – 8:45 PM; Tuesday: 11:00 AM – 8:45 PM; Wednesday: 11:00 AM – 9:00 PM; Thursday: 11:00 AM – 9:00 PM; Friday: 11:00 AM – 9:45 PM; Saturday: 11:00 AM – 9:45 PM; Sunday: 11:00 AM – 8:45 PM,1 1100 - 2045,No,1100 - 2100
The Courtyard Kitchen,1211 Montana Ave #C, Santa Monica, CA 90403, United States,34.0311416,-118.4967916,Monday: 8:00 AM – 3:00 PM; Tuesday: 8:00 AM – 10:00 PM; Wednesday: 8:00 AM – 10:00 PM; Thursday: 8:00 AM – 10:00 PM; Friday: 8:00 AM – 10:00 PM; Saturday: 8:00 AM – 10:00 PM; Sunday: 8:00 AM – 10:00 PM,1 0800 - 1500,No,0800 - 2200
The Palisades Villa,16629 Sunset Blvd, Pacific Palisades, CA 90272, United States,34.0474899,-118.544057,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: 12:00 AM – 12:00 PM; Saturday: Open 24 hours; Sunday: Open 24 hours,N/A,Yes,N/A
R+D Kitchen,1323 Montana Ave, Santa Monica, CA 90403, United States,34.0320914,-118.4957843,Monday: 11:30 AM – 9:00 PM; Tuesday: 11:30 AM – 9:00 PM; Wednesday: 11:30 AM – 9:00 PM; Thursday: 11:30 AM – 10:00 PM; Friday: 11:30 AM – 10:00 PM; Saturday: 11:00 AM – 10:00 PM; Sunday: 11:00 AM – 9:00 PM,1 1130 - 2100,No,1130 - 2100
The Palisades,The Palisades, Alpine, NJ 07624, United States,40.9500984,-73.9204141,N/A,N/A,N/A,N/A
Santa Monica Ghosts,1603 Ocean Ave, Santa Monica, CA 90401, United States,34.0114725,-118.4947215,Monday: 8:00 AM – 12:00 AM; Tuesday: 8:00 AM – 12:00 AM; Wednesday: 8:00 AM – 12:00 AM; Thursday: 8:00 AM – 12:00 AM; Friday: 8:00 AM – 12:00 AM; Saturday: 8:00 AM – 12:00 AM; Sunday: 8:00 AM – 12:00 AM,1 0800 - 0000,No,0800 - 0000
Old Santa Monica Forestry Station,178 Latimer Rd, Santa Monica, CA 90402, United States,34.0369132,-118.5151209,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,N/A,Yes,N/A
Rock N Pies,1120 Wilshire Blvd, Santa Monica, CA 90401, United States,34.0247879,-118.491037,Monday: 4:30 PM – 12:00 AM; Tuesday: 11:30 AM – 12:00 AM; Wednesday: 11:30 AM – 12:00 AM; Thursday: 11:30 AM – 12:00 AM; Friday: 11:30 AM – 1:30 AM; Saturday: 11:30 AM – 2:00 AM; Sunday: 10:00 AM – 12:00 AM,1 1630 - 0000,No,1130 - 0000
A Votre Santé,13016 San Vicente Blvd, Los Angeles, CA 90049, United States,34.0484737,-118.4903645,Monday: 11:00 AM – 8:30 PM; Tuesday: 11:00 AM – 8:30 PM; Wednesday: 11:00 AM – 8:30 PM; Thursday: 11:00 AM – 8:30 PM; Friday: 11:00 AM – 9:00 PM; Saturday: 10:00 AM – 9:00 PM; Sunday: 10:00 AM – 8:30 PM,1 1100 - 2030,No,1100 - 2030
